date,visitors_total,yoy_rate,yoy_diff,usd_jpy,cny_jpy
2017-09-01,2280406,0.18879747435938876,362160.0,110.74333333333334,16.8595603570782
2017-10-01,2595148,0.2150115360990008,459244.0,112.9040909090909,17.03789681179768
2017-11-01,2378079,0.26803558060023325,502675.0,112.7909090909091,17.036985069491312
2017-12-01,2521262,0.22949526198547976,470614.0,112.95761904761905,17.135170997089052
2018-01-01,2501409,0.08962140867059176,205741.0,110.96565217391304,17.261288263098727
2018-02-01,2509297,0.23260278292597736,473526.0,107.87650000000001,17.071064710054152
2018-03-01,2607956,0.18239042755378887,402292.0,106.04681818181817,16.78668900617618
2018-04-01,2900718,0.12475833375339773,321748.0,107.65619047619049,17.09715601817226
2018-05-01,2675052,0.1657437496649914,380335.0,109.67347826086956,17.21494041753402
2018-06-01,2704631,0.15265197264624475,358189.0,110.06380952380952,17.0265398760898
2018-07-01,2832040,0.056133130562614264,150522.0,111.47636363636364,16.607886953075955
2018-08-01,2578021,0.040603803622143664,100593.0,110.99652173913044,16.21552042412935
2018-09-01,2159595,-0.05297784692725771,-120811.0,112.0415,16.347190495020605
2018-10-01,2640610,0.017518076040364594,45462.0,112.75826086956522,16.30261632185968
2018-11-01,2450751,0.030559119356421638,72672.0,113.34500000000001,16.339267663527433
2018-12-01,2631776,0.04383281071146117,110514.0,112.13333333333334,16.29064633616131
2019-01-01,2689339,0.07512965692535678,187930.0,109.00173913043479,16.05758391698508
2019-02-01,2604322,0.037869172122710015,95025.0,110.457,16.390659330961615
2019-03-01,2760136,0.058352211463690296,152180.0,111.14428571428573,16.559261918382383
2019-04-01,2926685,0.008951921558731257,25967.0,111.64136363636364,16.62309912523513
2019-05-01,2773091,0.03664938102137838,98039.0,109.94565217391305,16.043449132591746
2019-06-01,2880041,0.0648554275980715,175410.0,108.0685,15.667364276024419
2019-07-01,2991189,0.05619588706374201,159149.0,108.26695652173912,15.741961524902997
2019-08-01,2520134,-0.022454045176513282,-57887.0,106.18863636363636,15.03650299450333
2019-09-01,2272883,0.052457984020152004,113288.0,107.48095238095237,15.10536456848335
2019-10-01,2496568,-0.05454875956691829,-144042.0,108.15347826086958,15.24297755985481
2019-11-01,2441274,-0.003866977918197345,-9477.0,108.89619047619048,15.514370913844026
2019-12-01,2526387,-0.040044821443770307,-105389.0,109.11363636363636,15.558293455690835
2020-01-01,2661022,-0.010529353123574281,-28317.0,109.2795652173913,15.797906783620281
2020-02-01,1085147,-0.5833284056272612,-1519175.0,110.0165,15.725247593402377
2020-03-01,193658,-0.9298375152528716,-2566478.0,107.66727272727272,15.335144383918612
2020-04-01,2917,-0.9990033092047829,-2923768.0,107.73863636363636,15.237201499735521
2020-05-01,1663,-0.9994003081759668,-2771428.0,107.21428571428571,15.094704205736289
2020-06-01,2565,-0.9991093876788559,-2877476.0,107.5781818181818,15.191266700322712
2020-07-01,3782,-0.9987356198488293,-2987407.0,106.7195652173913,15.230904444125738
2020-08-01,8658,-0.9965644683973154,-2511476.0,106.01285714285714,15.304570535397396
2020-09-01,13684,-0.9939794525279128,-2259199.0,105.62318181818182,15.505494906395727
2020-10-01,27386,-0.989030541126859,-2469182.0,105.23272727272727,15.650829663496364
2020-11-01,56673,-0.9767854816788284,-2384601.0,104.44999999999999,15.82421213244329
2020-12-01,58673,-0.9767759254619344,-2467714.0,103.77130434782607,15.868723073160872
2021-01-01,46522,-0.9825172433749139,-2614500.0,103.76380952380953,16.03526907196664
2021-02-01,7355,-0.9932221164505822,-1077792.0,105.3555,16.309172882507337
2021-03-01,12276,-0.9366098999266749,-181382.0,108.6991304347826,16.69479771415763
2021-04-01,10853,2.7206033596160437,7936.0,109.04454545454546,16.728054267129767
2021-05-01,10035,5.034275405892965,8372.0,109.14619047619048,16.977732973918137
2021-06-01,9251,2.606627680311891,6686.0,110.10727272727273,17.137334375094255
2021-07-01,51055,12.499471179270227,47273.0,110.26272727272728,17.02627782794183
2021-08-01,25916,1.993300993300993,17258.0,109.85272727272728,16.960994328321327
2021-09-01,17720,0.29494299912306343,4036.0,110.13727272727273,17.05930538833634
2021-10-01,22113,-0.19254363543416342,-5273.0,113.07523809523809,17.61795521088023
2021-11-01,20682,-0.6350643163411148,-35991.0,114.02409090909092,17.846892721407382
