国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
ドイツ,ヨーロッパ,,,,,10,847,0.02,0.738687984,-0.213695396,666,0.012,,,,2014,1875,0.021,0.793641046,-0.1552,1584,0.014,,,,1064,0.024,0.804353516,-0.143796992,911,0.016,,,,2.213695396,0.164682983,2.378378378,11月,228510,,,1.762218045,-0.023469417,1.738748628
イタリア,ヨーロッパ,,,,,11,553,0.013,1.410013194,0.500904159,830,0.015,,,,2014,1325,0.015,1.365559475,0.453584906,1926,0.017,,,,672,0.015,1.481858746,0.577380952,1060,0.019,,,,2.396021700,-0.075539772,2.320481928,11月,228510,,,1.971726190,-0.154745058,1.816981132
オランダ,ヨーロッパ,,,,,12,121,0.003,2.616463894,1.785123967,337,0.006,,,,2014,347,0.004,2.498862972,1.659942363,923,0.008,,,,218,0.005,2.262418927,1.408256881,525,0.009,,,,2.867768595,-0.128896191,2.738872404,11月,228510,,,1.591743119,0.166352119,1.758095238
スペイン,ヨーロッパ,,,,,13,521,0.012,1.467766250,0.562380038,814,0.015,,,,2014,1212,0.014,1.572713602,0.674092409,2029,0.018,,,,602,0.014,1.568338436,0.669435216,1005,0.018,,,,2.326295585,0.166333407,2.492628993,11月,228510,,,2.013289037,0.005616436,2.018905473
スイス,ヨーロッパ,,,,,14,307,0.007,1.597358301,0.700325733,522,0.009,,,,2014,719,0.008,1.608419679,0.712100139,1231,0.011,,,,374,0.008,1.449353843,0.542780749,577,0.01,,,,2.342019544,0.016218004,2.358237548,11月,228510,,,1.922459893,0.210988980,2.133448873
スウェーデン,ヨーロッパ,,,,,15,238,0.006,1.290746664,0.373949580,327,0.006,,,,2014,678,0.008,1.188852046,0.265486726,858,0.008,,,,396,0.009,1.259707023,0.340909091,531,0.01,,,,2.848739496,-0.224886285,2.623853211,11月,228510,,,1.712121212,-0.096302003,1.615819209
フィンランド,ヨーロッパ,,,,,16,72,0.002,0.952490339,0.013888889,73,0.001,,,,2014,187,0.002,0.818872362,-0.128342246,163,0.001,,,,99,0.002,0.948931844,0.010101010,100,0.002,,,,2.597222222,-0.364345510,2.232876712,11月,228510,,,1.888888889,-0.258888889,1.63
ロシア,ヨーロッパ,,,,,17,682,0.016,0.924290227,-0.016129032,671,0.012,,,,2014,1480,0.017,0.904530810,-0.037162162,1425,0.012,,,,895,0.02,0.812434095,-0.135195531,774,0.014,,,,2.170087977,-0.046392000,2.123695976,11月,228510,,,1.653631285,0.187453986,1.841085271
その他,ヨーロッパ,,,,,18,1968,0.046,0.984314273,0.047764228,2062,0.033,,,,2014,4306,0.049,0.970640919,0.033209475,4449,0.039,,,,1885,0.043,1.174676941,0.250397878,2357,0.042,,,,2.188008130,-0.030394163,2.157613967,11月,228510,,,2.284350133,-0.396781189,1.887568944
ヨーロッパ小計,ヨーロッパ,,,,,19,7639,0.178,1.169291731,0.244665532,9508,0.167,,,,2014,17586,0.198,1.185921988,0.262367793,22200,0.194,,,,9047,0.205,1.199769973,0.277108434,11554,0.207,,,,2.302133787,0.032742107,2.334875894,11月,228510,,,1.943848790,-0.022436292,1.921412498
中国,東アジア,,,,,20,3983,0.093,1.929123881,1.053477278,8179,0.138,,,,2014,8056,0.091,1.818362377,0.935575968,15593,0.137,,,,4076,0.092,1.697726606,0.807163886,7366,0.132,,,,2.022596033,-0.116128250,1.906467783,11月,228510,,,1.976447498,0.140440909,2.116888406
台湾,東アジア,,,,,21,10599,0.247,1.295046207,0.378526276,14611,0.263,,,,2014,18319,0.206,1.283598800,0.366340957,25030,0.219,,,,8148,0.185,1.305626800,0.389788905,11324,0.203,,,,1.728370601,-0.015277726,1.713092875,11月,228510,,,2.248281787,-0.037932087,2.210349700
香港,東アジア,,,,,22,2342,0.054,1.111526575,0.183176772,2771,0.057,,,,2014,4791,0.054,1.269845502,0.351701106,6476,0.057,,,,2252,0.051,1.201418506,0.278863233,2880,0.052,,,,2.045687447,0.291374986,2.337062432,11月,228510,,,2.127442274,0.121168838,2.248611111
韓国,東アジア,,,,,23,749,0.017,1.669423234,0.777036048,1331,0.023,,,,2014,1413,0.016,1.741259714,0.853503185,2619,0.023,,,,780,0.018,1.578986092,0.680769231,1311,0.024,,,,1.886515354,0.081178110,1.967693464,11月,228510,,,1.811538462,0.186173209,1.997711670
東アジア小計,東アジア,,,,,24,17673,0.411,1.429496317,0.521643185,26892,0.481,,,,2014,32579,0.367,1.433659827,0.526075079,49718,0.435,,,,15256,0.346,1.408979053,0.499803356,22881,0.41,,,,1.843433486,0.005369132,1.848802618,11月,228510,,,2.135487677,0.037406864,2.172894541
フィリピン,東南アジア,,,,,25,167,0.004,1.265715978,0.347305389,225,0.004,,,,2014,383,0.004,1.253407652,0.334203655,511,0.004,,,,183,0.004,1.185853680,0.262295082,231,0.004,,,,2.293413174,-0.022302063,2.271111111,11月,228510,,,2.092896175,0.119225037,2.212121212
ベトナム,東南アジア,,,,,26,40,0.001,5.260878145,4.6,224,0.004,,,,2014,74,0.001,3.503866718,2.729729730,276,0.002,,,,36,0.001,4.097013238,3.361111111,157,0.003,,,,1.85,-0.617857143,1.232142857,11月,228510,,,2.055555556,-0.297593772,1.757961783
タイ,東南アジア,,,,,27,1004,0.023,1.505540861,0.602589641,1609,0.028,,,,2014,2052,0.023,1.294709290,0.378167641,2828,0.025,,,,972,0.022,1.299948763,0.383744856,1345,0.024,,,,2.043824701,-0.286211277,1.757613424,11月,228510,,,2.111111111,-0.008508881,2.102602230
