国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
海外その他,海外その他,2.34,(0.54),2.00,(0.10),46,5139,0.024,0.131,0.145,5882,0.025,1059,0.759175825,4.554296506,2025,12004,0.023,-0.127,-0.116,10609,0.018,3537,-0.050008810,1.999434549,6123,0.025,-0.1,-0.089,5579,0.02,1767,0,2.157328806,2.335863008,-0.532224790,1.803638218,6月,544149,372823,537687,1.96047689,-0.058881622,1.901595268
海外合計,海外合計,1.08,1.37,2.00,0.07,47,218162,,0.084,0.097,239246,,141805,-0.121995830,0.687147844,2025,510970,,0.131,0.144,584659,,294317,0.033786196,0.986494154,247998,,0.126,0.139,282496,,147013,0,0.921571562,2.342158579,0.101598056,2.443756635,6月,544149,372823,537687,2.060379519,0.009239166,2.069618685
アフリカ,アフリカ,0.82,1.97,1.77,0.37,45,231,0.001,0.911,0.926,445,0.002,244,-0.209804813,0.823770492,2025,536,0.001,1.291,1.31,1238,0.002,443,0.210824260,1.794582393,303,0.001,0.889,0.904,577,0.002,250,0,1.308,2.32034632,0.461676152,2.782022472,7月,578302,384992,573658,1.768976898,0.376603692,2.145580589
その他,オセアニア,-,-,1.70,0.17,43,51,0,0.05,0.059,54,0,0,,,2025,140,0,0.042,0.05,147,0,39,0.097370983,2.769230769,63,0,0.244,0.254,79,0,23,0,2.434782609,2.745098039,-0.022875817,2.722222222,7月,578302,384992,573658,2.222222222,-0.361462729,1.860759494
オセアニア小計,オセアニア,1.63,1.23,2.11,0.07,44,8413,0.037,-0.079,-0.072,7809,0.032,4742,-0.046655757,0.646773513,2025,22073,0.04,0.001,0.009,22279,0.037,12457,0.035376025,0.788472345,10527,0.041,-0.038,-0.03,10207,0.037,5909,0,0.727365036,2.623677642,0.229312498,2.85299014,7月,578302,384992,573658,2.096798708,0.085919035,2.182717743
オーストラリア,オセアニア,1.62,1.23,2.11,0.09,41,7442,0.032,-0.082,-0.075,6884,0.028,4368,-0.044107338,0.576007326,2025,19286,0.035,0.01,0.019,19644,0.033,11446,0.040943313,0.716232745,9231,0.036,-0.039,-0.031,8946,0.032,5426,0,0.648728345,2.591507659,0.262065844,2.853573504,7月,578302,384992,573658,2.089264435,0.106577282,2.195841717
ニュージーランド,オセアニア,1.60,1.26,2.11,(0.01),42,920,0.004,-0.061,-0.053,871,0.004,374,-0.093668847,1.328877005,2025,2647,0.005,-0.068,-0.06,2488,0.004,972,-0.003850626,1.559670782,1233,0.005,-0.049,-0.041,1182,0.004,460,0,1.569565217,2.877173913,-0.020687116,2.856486797,7月,578302,384992,573658,2.146796431,-0.041889494,2.104906937
その他,ヨーロッパ,1.87,1.23,2.03,0.13,18,7740,0.034,0.332,0.343,10397,0.042,3689,-0.013642902,1.818378964,2025,20829,0.038,0.534,0.547,32218,0.054,10581,0.065630515,2.044891787,10307,0.04,0.436,0.448,14924,0.054,5223,0,1.85736167,2.691085271,0.407693223,3.098778494,7月,578302,384992,573658,2.02085961,0.137945000,2.15880461
イギリス,ヨーロッパ,1.30,1.65,2.01,0.12,8,5173,0.023,0.081,0.09,5636,0.023,3141,-0.174900590,0.794333015,2025,14423,0.026,0.143,0.153,16624,0.028,7223,0.058330090,1.301536758,6776,0.026,0.145,0.154,7818,0.028,3595,0,1.174687065,2.788130679,0.161478974,2.949609652,7月,578302,384992,573658,2.128541913,-0.002166881,2.126375032
イタリア,ヨーロッパ,1.76,1.26,1.98,0.10,11,4630,0.02,0.303,0.313,6080,0.025,2876,-0.039549880,1.114047288,2025,12857,0.023,0.416,0.427,18347,0.031,7928,0.051384420,1.314202825,6456,0.025,0.352,0.363,8800,0.032,3998,0,1.20110055,2.776889849,0.240708835,3.017598684,7月,578302,384992,573658,1.991480793,0.093405571,2.084886364
