year,month,month_date,region_code,count_china,count_korea,count_north_america,count_southeast_asia,count_europe,count_domestic,count_overseas,foreign_total,foreign_hhi,foreign_entropy,foreign_entropy_norm,foreign_top1_share,foreign_top1_market,foreign_active_market_count,foreign_share_china,foreign_share_korea,foreign_share_north_america,foreign_share_southeast_asia,foreign_share_europe,all_total,all_hhi,all_entropy,all_entropy_norm,all_top1_share,all_top1_market,all_active_market_count,all_share_china,all_share_korea,all_share_north_america,all_share_southeast_asia,all_share_europe,all_share_japan,known_foreign_to_overseas_ratio,data_quality_known_foreign_le_overseas
2025,8,2025-08-01,上京区,6432,510,2254,566,4725,15970,17225,14487.0,0.33047207192073225,1.2598895732777584,0.7828134055648733,0.4439842617519155,china,5,0.4439842617519155,0.03520397597846345,0.15558776834403257,0.03906951059570649,0.32615448332988195,30457.0,0.34970680498963225,1.2912330441699036,0.7206508833053392,0.5243457989953049,japan,6,0.21118297928226681,0.016744919066224512,0.07400597563778442,0.018583576846045245,0.15513675017237416,0.5243457989953049,0.841044992743106,True
2025,8,2025-08-01,下京区,22210,1625,7801,1800,15233,51413,57794,48669.0,0.33439191318935246,1.2504747588614982,0.7769636524656554,0.4563479833158684,china,5,0.4563479833158684,0.03338881012554193,0.1602868355626785,0.03698452813906183,0.31299184285684933,100082.0,0.3429734113899986,1.3008661958726604,0.726027247637828,0.5137087588177695,japan,6,0.2219180272176815,0.01623668591754761,0.07794608421094702,0.017985252093283506,0.15220519174277092,0.5137087588177695,0.8421116378862857,True
2025,8,2025-08-01,中京区,13188,1123,5338,1147,8572,33307,35048,29368.0,0.32287554027491794,1.2803144535862552,0.795504097234741,0.44906020157995097,china,5,0.44906020157995097,0.03823889948242985,0.18176246254426587,0.0390561154998638,0.29188232089348953,62675.0,0.3533031507630251,1.291095550280814,0.7205741465047524,0.5314240127642601,japan,6,0.2104188272836059,0.017917830075787795,0.08516952532907858,0.018300757877941762,0.13676904666932588,0.5314240127642601,0.8379365441679981,True
2025,8,2025-08-01,伏見区,4798,407,1655,322,2724,10425,11863,9906.0,0.34087164755526095,1.2476153557545593,0.775187005423326,0.48435291742378356,china,5,0.48435291742378356,0.04108621037754896,0.16707046234605288,0.03250555219059156,0.274984857662023,20331.0,0.34384931401923036,1.3007047332196604,0.7259371336153976,0.512763759775712,japan,6,0.23599429442722936,0.02001869066942108,0.08140278392602429,0.015837883035758202,0.1339825881658551,0.512763759775712,0.8350332968051927,True
2025,8,2025-08-01,北区,2339,175,716,153,1410,5239,5765,4793.0,0.34935636411487314,1.2248828384776584,0.7610624982887075,0.4880033382015439,china,5,0.4880033382015439,0.036511579386605465,0.1493845190903401,0.03192155226371792,0.2941790110577926,10032.0,0.3524689096963083,1.2773722704157282,0.7129150381809113,0.5222288676236044,japan,6,0.23315390749601275,0.017444178628389154,0.07137161084529506,0.015251196172248804,0.14055023923444976,0.5222288676236044,0.8313963573287078,True
2025,8,2025-08-01,南区,13831,1024,4874,1011,8929,32469,35697,29669.0,0.33723410740786497,1.2452217889017976,0.7736997987195012,0.46617681755367557,china,5,0.46617681755367557,0.03451413933735549,0.16427921399440493,0.03407597155279922,0.3009538575617648,62138.0,0.34991978272778873,1.2866870192723505,0.7181136985014483,0.5225304966365187,japan,6,0.22258521355692168,0.01647944896842512,0.07843831471885158,0.016270237213943158,0.14369628890533973,0.5225304966365187,0.8311342689861894,True
2025,8,2025-08-01,右京区,2904,258,1004,205,1901,6689,7559,6272.0,0.33462879033150245,1.2546722677222548,0.779571711358967,0.4630102040816326,china,5,0.4630102040816326,0.041135204081632654,0.1600765306122449,0.03268494897959184,0.30309311224489793,12961.0,0.34470621779102273,1.299782096262451,0.72542220012513,0.5160867217035723,japan,6,0.2240567857418409,0.019905871460535452,0.0774631587068899,0.015816680811665765,0.1466707815754957,0.5160867217035723,0.8297393835163381,True
2025,8,2025-08-01,山科区,439,48,184,32,362,1220,1351,1065.0,0.31823403645661136,1.280457943087983,0.7955932522749071,0.41220657276995304,china,5,0.41220657276995304,0.04507042253521127,0.1727699530516432,0.03004694835680751,0.339906103286385,2285.0,0.35419829637680816,1.2876445804130046,0.7186481235496198,0.5339168490153173,japan,6,0.19212253829321663,0.02100656455142232,0.08052516411378556,0.01400437636761488,0.15842450765864333,0.5339168490153173,0.7883049592894152,True
2025,8,2025-08-01,左京区,4423,346,1429,316,2633,10171,11089,9147.0,0.3437080531367879,1.2399775514439877,0.7704413707818378,0.48354651798403847,china,5,0.48354651798403847,0.03782660981742648,0.15622608505520935,0.034546845960424184,0.2878539411829015,19318.0,0.35426511802758787,1.2788663062248218,0.7137488754424145,0.5265037788590952,japan,6,0.2289574490112848,0.01791075680712289,0.07397246091727921,0.016357801014597783,0.13629775339062014,0.5265037788590952,0.8248714942736045,True
2025,8,2025-08-01,東山区,19305,1518,6827,1402,12399,45318,50162,41451.0,0.335991728636507,1.2496146232725598,0.77642922017579,0.46573062169790835,china,5,0.46573062169790835,0.03662155315915177,0.16470048973486767,0.03382306820100842,0.29912426720706375,86769.0,0.3494576111527394,1.2891155294574936,0.7194690758424647,0.5222833039449573,japan,6,0.22248729384918578,0.017494727379594094,0.07868017379478846,0.01615784439143012,0.14289665664004425,0.5222833039449573,0.8263426498146007,True
